# civil-holidays-translations v1
# source: translation
# retrieved: 2026-07-22
# note:
#   DISPLAY translations, NOT official names. Every row here is a rendering we
#   authored for convenience - a way to *show* a holiday in another language -
#   and is deliberately kept distinct from the official native names that live
#   in the per-jurisdiction .tab files. The golden rule still holds: a holiday's
#   real name is what its own government calls it (that is the primary `name`
#   and any co-official `names`); these are only helpful glosses. The join key
#   is the holiday's PRIMARY name (its official native name) exactly as spelled
#   in the jurisdiction's .tab file. A language is omitted for a holiday when
#   that language is already its official name (carried in the .tab `names`).
# columns: jurisdiction | name | lang | text
#
# ===== PT =====
PT | Ano Novo | en | New Year's Day
PT | Natal | es | Navidad
PT | Natal | de | Weihnachten
PT | Natal | fr | Noël
PT | Carnaval | en | Carnival
PT | Carnaval | es | Carnaval
PT | Carnaval | de | Karneval
PT | Carnaval | fr | Carnaval
PT | Dia da Regiao Autonoma da Madeira | en | Madeira Day
PT | Dia da Regiao Autonoma da Madeira | es | Día de la Región Autónoma de Madeira
PT | Dia da Regiao Autonoma da Madeira | de | Tag der Autonomen Region Madeira
PT | Dia da Regiao Autonoma da Madeira | fr | Jour de la Région autonome de Madère
PT | Dia da Regiao Autonoma dos Acores | en | Azores Day
PT | Dia da Regiao Autonoma dos Acores | es | Día de la Región Autónoma de las Azores
PT | Dia da Regiao Autonoma dos Acores | de | Tag der Autonomen Region der Azoren
PT | Dia da Regiao Autonoma dos Acores | fr | Jour de la Région autonome des Açores
# ===== US =====
US | New Year's Day | pt | Ano Novo
US | New Year's Day | es | Año Nuevo
US | New Year's Day | de | Neujahr
US | New Year's Day | fr | Jour de l'an
US | Birthday of Martin Luther King, Jr. | pt | Aniversário de Martin Luther King, Jr.
US | Birthday of Martin Luther King, Jr. | es | Natalicio de Martin Luther King, Jr.
US | Birthday of Martin Luther King, Jr. | de | Martin-Luther-King-Tag
US | Birthday of Martin Luther King, Jr. | fr | Anniversaire de Martin Luther King, Jr.
US | Washington's Birthday | pt | Aniversário de Washington
US | Washington's Birthday | es | Natalicio de Washington
US | Washington's Birthday | de | Washingtons Geburtstag
US | Washington's Birthday | fr | Anniversaire de Washington
US | Memorial Day | pt | Dia da Memória
US | Memorial Day | es | Día de los Caídos
US | Memorial Day | de | Memorial Day
US | Memorial Day | fr | Journée du Souvenir
US | Juneteenth National Independence Day | pt | Juneteenth — Dia da Emancipação
US | Juneteenth National Independence Day | es | Juneteenth — Día de la Emancipación
US | Juneteenth National Independence Day | de | Juneteenth — Tag der Befreiung
US | Juneteenth National Independence Day | fr | Juneteenth — Jour de l'émancipation
US | Independence Day | pt | Dia da Independência
US | Independence Day | es | Día de la Independencia
US | Independence Day | de | Unabhängigkeitstag
US | Independence Day | fr | Jour de l'Indépendance
US | Labor Day | pt | Dia do Trabalho
US | Labor Day | es | Día del Trabajo
US | Labor Day | de | Tag der Arbeit
US | Labor Day | fr | Fête du Travail
US | Columbus Day | pt | Dia de Colombo
US | Columbus Day | es | Día de la Raza
US | Columbus Day | de | Kolumbus-Tag
US | Columbus Day | fr | Jour de Christophe Colomb
US | Veterans Day | pt | Dia dos Veteranos
US | Veterans Day | es | Día de los Veteranos
US | Veterans Day | de | Veteranentag
US | Veterans Day | fr | Journée des anciens combattants
US | Thanksgiving Day | pt | Dia de Ação de Graças
US | Thanksgiving Day | es | Día de Acción de Gracias
US | Thanksgiving Day | de | Erntedankfest
US | Thanksgiving Day | fr | Action de grâce
US | Christmas Day | pt | Natal
US | Christmas Day | es | Navidad
US | Christmas Day | de | Weihnachten
US | Christmas Day | fr | Noël
# ===== GB =====
GB | New Year's Day | pt | Ano Novo
GB | New Year's Day | es | Año Nuevo
GB | New Year's Day | de | Neujahr
GB | New Year's Day | fr | Jour de l'an
GB | Good Friday | pt | Sexta-feira Santa
GB | Good Friday | es | Viernes Santo
GB | Good Friday | de | Karfreitag
GB | Good Friday | fr | Vendredi saint
GB | Early May Bank Holiday | pt | Feriado do início de Maio
GB | Early May Bank Holiday | es | Festivo de principios de mayo
GB | Early May Bank Holiday | de | Feiertag Anfang Mai
GB | Early May Bank Holiday | fr | Jour férié de début mai
GB | Spring Bank Holiday | pt | Feriado da Primavera
GB | Spring Bank Holiday | es | Festivo de primavera
GB | Spring Bank Holiday | de | Frühlingsfeiertag
GB | Spring Bank Holiday | fr | Jour férié de printemps
GB | Christmas Day | pt | Natal
GB | Christmas Day | es | Navidad
GB | Christmas Day | de | Weihnachten
GB | Christmas Day | fr | Noël
GB | Boxing Day | pt | Dia de São Estêvão
GB | Boxing Day | es | San Esteban
GB | Boxing Day | de | Zweiter Weihnachtsfeiertag
GB | Boxing Day | fr | Lendemain de Noël
GB | Easter Monday | pt | Segunda-feira de Páscoa
GB | Easter Monday | es | Lunes de Pascua
GB | Easter Monday | de | Ostermontag
GB | Easter Monday | fr | Lundi de Pâques
GB | Summer Bank Holiday | pt | Feriado de Verão
GB | Summer Bank Holiday | es | Festivo de verano
GB | Summer Bank Holiday | de | Sommerfeiertag
GB | Summer Bank Holiday | fr | Jour férié d'été
GB | 2nd January | pt | 2 de Janeiro
GB | 2nd January | es | 2 de enero
GB | 2nd January | de | 2. Januar
GB | 2nd January | fr | 2 janvier
GB | St Andrew's Day | pt | Dia de Santo André
GB | St Andrew's Day | es | Día de San Andrés
GB | St Andrew's Day | de | Andreastag
GB | St Andrew's Day | fr | Saint-André
GB | St Patrick's Day | pt | Dia de São Patrício
GB | St Patrick's Day | es | Día de San Patricio
GB | St Patrick's Day | de | St. Patrick's Day
GB | St Patrick's Day | fr | Saint-Patrick
GB | Battle of the Boyne | pt | Batalha de Boyne
GB | Battle of the Boyne | es | Batalla del Boyne
GB | Battle of the Boyne | de | Schlacht am Boyne
GB | Battle of the Boyne | fr | Bataille de la Boyne
# ===== CA =====
CA | New Year's Day | pt | Ano Novo
CA | New Year's Day | es | Año Nuevo
CA | New Year's Day | de | Neujahr
CA | Good Friday | pt | Sexta-feira Santa
CA | Good Friday | es | Viernes Santo
CA | Good Friday | de | Karfreitag
CA | Canada Day | pt | Dia do Canadá
CA | Canada Day | es | Día de Canadá
CA | Canada Day | de | Kanada-Tag
CA | Labour Day | pt | Dia do Trabalho
CA | Labour Day | es | Día del Trabajo
CA | Labour Day | de | Tag der Arbeit
CA | Christmas Day | pt | Natal
CA | Christmas Day | es | Navidad
CA | Christmas Day | de | Weihnachten
CA | Family Day | pt | Dia da Família
CA | Family Day | es | Día de la Familia
CA | Family Day | de | Tag der Familie
CA | Family Day | fr | Jour de la famille
CA | Victoria Day | pt | Dia de Vitória
CA | Victoria Day | es | Día de Victoria
CA | Victoria Day | de | Victoria Day
CA | Victoria Day | fr | Fête de la Reine
CA | Thanksgiving Day | pt | Dia de Ação de Graças
CA | Thanksgiving Day | es | Día de Acción de Gracias
CA | Thanksgiving Day | de | Erntedankfest
CA | Thanksgiving Day | fr | Action de grâce
CA | Boxing Day | pt | Dia de São Estêvão
CA | Boxing Day | es | San Esteban
CA | Boxing Day | de | Zweiter Weihnachtsfeiertag
CA | Boxing Day | fr | Lendemain de Noël
CA | National Patriots' Day | pt | Dia Nacional dos Patriotas
CA | National Patriots' Day | es | Día Nacional de los Patriotas
CA | National Patriots' Day | de | Nationaler Patriotentag
CA | Saint-Jean-Baptiste | en | Saint-Jean-Baptiste Day
CA | Saint-Jean-Baptiste | pt | Dia de São João Baptista
CA | Saint-Jean-Baptiste | es | Día de San Juan Bautista
CA | Saint-Jean-Baptiste | de | Johannistag
CA | British Columbia Day | pt | Dia da Colúmbia Britânica
CA | British Columbia Day | es | Día de Columbia Británica
CA | British Columbia Day | de | British Columbia Day
CA | British Columbia Day | fr | Jour de la Colombie-Britannique
CA | National Day for Truth and Reconciliation | pt | Dia Nacional da Verdade e Reconciliação
CA | National Day for Truth and Reconciliation | es | Día Nacional de la Verdad y la Reconciliación
CA | National Day for Truth and Reconciliation | de | Nationaler Tag der Wahrheit und Versöhnung
CA | National Day for Truth and Reconciliation | fr | Journée nationale de la vérité et de la réconciliation
CA | Remembrance Day | pt | Dia da Lembrança
CA | Remembrance Day | es | Día del Recuerdo
CA | Remembrance Day | de | Volkstrauertag
CA | Remembrance Day | fr | Jour du Souvenir
CA | Louis Riel Day | pt | Dia de Louis Riel
CA | Louis Riel Day | es | Día de Louis Riel
CA | Louis Riel Day | de | Louis-Riel-Tag
CA | Louis Riel Day | fr | Jour de Louis Riel
CA | Heritage Day | pt | Dia do Património
CA | Heritage Day | es | Día del Patrimonio
CA | Heritage Day | de | Tag des Erbes
CA | Heritage Day | fr | Jour du patrimoine
# ===== AU =====
AU | New Year's Day | pt | Ano Novo
AU | New Year's Day | es | Año Nuevo
AU | New Year's Day | de | Neujahr
AU | New Year's Day | fr | Jour de l'an
AU | Australia Day | pt | Dia da Austrália
AU | Australia Day | es | Día de Australia
AU | Australia Day | de | Australia Day
AU | Australia Day | fr | Fête de l'Australie
AU | Good Friday | pt | Sexta-feira Santa
AU | Good Friday | es | Viernes Santo
AU | Good Friday | de | Karfreitag
AU | Good Friday | fr | Vendredi saint
AU | Easter Monday | pt | Segunda-feira de Páscoa
AU | Easter Monday | es | Lunes de Pascua
AU | Easter Monday | de | Ostermontag
AU | Easter Monday | fr | Lundi de Pâques
AU | ANZAC Day | pt | Dia do ANZAC
AU | ANZAC Day | es | Día del ANZAC
AU | ANZAC Day | de | ANZAC Day
AU | ANZAC Day | fr | Jour de l'ANZAC
AU | Christmas Day | pt | Natal
AU | Christmas Day | es | Navidad
AU | Christmas Day | de | Weihnachten
AU | Christmas Day | fr | Noël
AU | Boxing Day | pt | Dia de São Estêvão
AU | Boxing Day | es | San Esteban
AU | Boxing Day | de | Zweiter Weihnachtsfeiertag
AU | Boxing Day | fr | Lendemain de Noël
AU | King's Birthday | pt | Aniversário do Rei
AU | King's Birthday | es | Cumpleaños del Rey
AU | King's Birthday | de | Geburtstag des Königs
AU | King's Birthday | fr | Anniversaire du Roi
AU | Labour Day | pt | Dia do Trabalho
AU | Labour Day | es | Día del Trabajo
AU | Labour Day | de | Tag der Arbeit
AU | Labour Day | fr | Fête du Travail
AU | Melbourne Cup Day | pt | Dia da Melbourne Cup
AU | Melbourne Cup Day | es | Día de la Copa de Melbourne
AU | Melbourne Cup Day | de | Melbourne-Cup-Tag
AU | Melbourne Cup Day | fr | Jour de la Melbourne Cup
AU | Western Australia Day | pt | Dia da Austrália Ocidental
AU | Western Australia Day | es | Día de Australia Occidental
AU | Western Australia Day | de | Tag von Westaustralien
AU | Western Australia Day | fr | Jour de l'Australie-Occidentale
AU | Eight Hours Day | pt | Dia das Oito Horas
AU | Eight Hours Day | es | Día de las Ocho Horas
AU | Eight Hours Day | de | Achtstundentag
AU | Eight Hours Day | fr | Journée des huit heures
AU | Canberra Day | pt | Dia de Camberra
AU | Canberra Day | es | Día de Canberra
AU | Canberra Day | de | Canberra Day
AU | Canberra Day | fr | Jour de Canberra
AU | May Day | pt | Dia do Trabalhador
AU | May Day | es | Primero de Mayo
AU | May Day | de | Maifeiertag
AU | May Day | fr | Premier Mai
AU | Picnic Day | pt | Dia do Piquenique
AU | Picnic Day | es | Día del Picnic
AU | Picnic Day | de | Picknicktag
AU | Picnic Day | fr | Jour du pique-nique
# ===== IN =====
IN | New Year's Day | pt | Ano Novo
IN | New Year's Day | es | Año Nuevo
IN | New Year's Day | de | Neujahr
IN | New Year's Day | fr | Jour de l'an
IN | Christmas Eve | pt | Véspera de Natal
IN | Christmas Eve | es | Nochebuena
IN | Christmas Eve | de | Heiligabend
IN | Christmas Eve | fr | Veille de Noël
IN | Easter Sunday | pt | Domingo de Páscoa
IN | Easter Sunday | es | Domingo de Pascua
IN | Easter Sunday | de | Ostersonntag
IN | Easter Sunday | fr | Dimanche de Pâques
IN | Guru Gobind Singh's Jayanti | pt | Guru Gobind Singh's Jayanti
IN | Guru Gobind Singh's Jayanti | es | Guru Gobind Singh's Jayanti
IN | Guru Gobind Singh's Jayanti | de | Guru Gobind Singh's Jayanti
IN | Guru Gobind Singh's Jayanti | fr | Guru Gobind Singh's Jayanti
IN | Lohri | pt | Lohri
IN | Lohri | es | Lohri
IN | Lohri | de | Lohri
IN | Lohri | fr | Lohri
IN | Makar Sankranti | pt | Makar Sankranti
IN | Makar Sankranti | es | Makar Sankranti
IN | Makar Sankranti | de | Makar Sankranti
IN | Makar Sankranti | fr | Makar Sankranti
IN | Magh Bihu; Pongal | pt | Magh Bihu; Pongal
IN | Magh Bihu; Pongal | es | Magh Bihu; Pongal
IN | Magh Bihu; Pongal | de | Magh Bihu; Pongal
IN | Magh Bihu; Pongal | fr | Magh Bihu; Pongal
IN | Basant Panchami / Sri Panchami | pt | Basant Panchami / Sri Panchami
IN | Basant Panchami / Sri Panchami | es | Basant Panchami / Sri Panchami
IN | Basant Panchami / Sri Panchami | de | Basant Panchami / Sri Panchami
IN | Basant Panchami / Sri Panchami | fr | Basant Panchami / Sri Panchami
IN | Guru Ravi Das's Jayanti | pt | Guru Ravi Das's Jayanti
IN | Guru Ravi Das's Jayanti | es | Guru Ravi Das's Jayanti
IN | Guru Ravi Das's Jayanti | de | Guru Ravi Das's Jayanti
IN | Guru Ravi Das's Jayanti | fr | Guru Ravi Das's Jayanti
IN | Shivaji's Jayanti | pt | Shivaji's Jayanti
IN | Shivaji's Jayanti | es | Shivaji's Jayanti
IN | Shivaji's Jayanti | de | Shivaji's Jayanti
IN | Shivaji's Jayanti | fr | Shivaji's Jayanti
IN | Swami Dayanand Saraswati's Jayanti | pt | Swami Dayanand Saraswati's Jayanti
IN | Swami Dayanand Saraswati's Jayanti | es | Swami Dayanand Saraswati's Jayanti
IN | Swami Dayanand Saraswati's Jayanti | de | Swami Dayanand Saraswati's Jayanti
IN | Swami Dayanand Saraswati's Jayanti | fr | Swami Dayanand Saraswati's Jayanti
IN | Maha Shivaratri | pt | Maha Shivaratri
IN | Maha Shivaratri | es | Maha Shivaratri
IN | Maha Shivaratri | de | Maha Shivaratri
IN | Maha Shivaratri | fr | Maha Shivaratri
IN | Dolyatra; Holika Dahan | pt | Dolyatra; Holika Dahan
IN | Dolyatra; Holika Dahan | es | Dolyatra; Holika Dahan
IN | Dolyatra; Holika Dahan | de | Dolyatra; Holika Dahan
IN | Dolyatra; Holika Dahan | fr | Dolyatra; Holika Dahan
IN | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi | pt | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi
IN | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi | es | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi
IN | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi | de | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi
IN | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi | fr | Chaitra Sukladi; Cheti Chand; Gudi Padwa; Ugadi
IN | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu | pt | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu
IN | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu | es | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu
IN | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu | de | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu
IN | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu | fr | Bahag Bihu; Meshadi (Tamil New Year's Day); Vaisakhadi; Vishu
IN | Vaisakhi | pt | Vaisakhi
IN | Vaisakhi | es | Vaisakhi
IN | Vaisakhi | de | Vaisakhi
IN | Vaisakhi | fr | Vaisakhi
IN | Guru Rabindranath's Jayanti | pt | Guru Rabindranath's Jayanti
IN | Guru Rabindranath's Jayanti | es | Guru Rabindranath's Jayanti
IN | Guru Rabindranath's Jayanti | de | Guru Rabindranath's Jayanti
IN | Guru Rabindranath's Jayanti | fr | Guru Rabindranath's Jayanti
IN | Rath Yatra | pt | Rath Yatra
IN | Rath Yatra | es | Rath Yatra
IN | Rath Yatra | de | Rath Yatra
IN | Rath Yatra | fr | Rath Yatra
IN | Raksha Bandhan | pt | Raksha Bandhan
IN | Raksha Bandhan | es | Raksha Bandhan
IN | Raksha Bandhan | de | Raksha Bandhan
IN | Raksha Bandhan | fr | Raksha Bandhan
IN | Parsi New Year | pt | Parsi New Year
IN | Parsi New Year | es | Parsi New Year
IN | Parsi New Year | de | Parsi New Year
IN | Parsi New Year | fr | Parsi New Year
IN | Onam | pt | Onam
IN | Onam | es | Onam
IN | Onam | de | Onam
IN | Onam | fr | Onam
IN | Ganesh Chaturthi / Vinayak Chaturthi | pt | Ganesh Chaturthi / Vinayak Chaturthi
IN | Ganesh Chaturthi / Vinayak Chaturthi | es | Ganesh Chaturthi / Vinayak Chaturthi
IN | Ganesh Chaturthi / Vinayak Chaturthi | de | Ganesh Chaturthi / Vinayak Chaturthi
IN | Ganesh Chaturthi / Vinayak Chaturthi | fr | Ganesh Chaturthi / Vinayak Chaturthi
IN | Dussehra (Saptami) | pt | Dussehra (Saptami)
IN | Dussehra (Saptami) | es | Dussehra (Saptami)
IN | Dussehra (Saptami) | de | Dussehra (Saptami)
IN | Dussehra (Saptami) | fr | Dussehra (Saptami)
IN | Dussehra (Mahanavami); Dussehra (Mahashtami) | pt | Dussehra (Mahanavami); Dussehra (Mahashtami)
IN | Dussehra (Mahanavami); Dussehra (Mahashtami) | es | Dussehra (Mahanavami); Dussehra (Mahashtami)
IN | Dussehra (Mahanavami); Dussehra (Mahashtami) | de | Dussehra (Mahanavami); Dussehra (Mahashtami)
IN | Dussehra (Mahanavami); Dussehra (Mahashtami) | fr | Dussehra (Mahanavami); Dussehra (Mahashtami)
IN | Maharishi Valmiki's Jayanti | pt | Maharishi Valmiki's Jayanti
IN | Maharishi Valmiki's Jayanti | es | Maharishi Valmiki's Jayanti
IN | Maharishi Valmiki's Jayanti | de | Maharishi Valmiki's Jayanti
IN | Maharishi Valmiki's Jayanti | fr | Maharishi Valmiki's Jayanti
IN | Karaka Chaturthi (Karwa Chouth) | pt | Karaka Chaturthi (Karwa Chouth)
IN | Karaka Chaturthi (Karwa Chouth) | es | Karaka Chaturthi (Karwa Chouth)
IN | Karaka Chaturthi (Karwa Chouth) | de | Karaka Chaturthi (Karwa Chouth)
IN | Karaka Chaturthi (Karwa Chouth) | fr | Karaka Chaturthi (Karwa Chouth)
IN | Naraka Chaturdashi | pt | Naraka Chaturdashi
IN | Naraka Chaturdashi | es | Naraka Chaturdashi
IN | Naraka Chaturdashi | de | Naraka Chaturdashi
IN | Naraka Chaturdashi | fr | Naraka Chaturdashi
IN | Govardhan Puja | pt | Govardhan Puja
IN | Govardhan Puja | es | Govardhan Puja
IN | Govardhan Puja | de | Govardhan Puja
IN | Govardhan Puja | fr | Govardhan Puja
IN | Bhai Duj | pt | Bhai Duj
IN | Bhai Duj | es | Bhai Duj
IN | Bhai Duj | de | Bhai Duj
IN | Bhai Duj | fr | Bhai Duj
IN | Pratihar Shashthi or Surya Shashthi (Chhat Puja) | pt | Pratihar Shashthi or Surya Shashthi (Chhat Puja)
IN | Pratihar Shashthi or Surya Shashthi (Chhat Puja) | es | Pratihar Shashthi or Surya Shashthi (Chhat Puja)
IN | Pratihar Shashthi or Surya Shashthi (Chhat Puja) | de | Pratihar Shashthi or Surya Shashthi (Chhat Puja)
IN | Pratihar Shashthi or Surya Shashthi (Chhat Puja) | fr | Pratihar Shashthi or Surya Shashthi (Chhat Puja)
IN | Guru Tegh Bahadur's Martyrdom Day | pt | Guru Tegh Bahadur's Martyrdom Day
IN | Guru Tegh Bahadur's Martyrdom Day | es | Guru Tegh Bahadur's Martyrdom Day
IN | Guru Tegh Bahadur's Martyrdom Day | de | Guru Tegh Bahadur's Martyrdom Day
IN | Guru Tegh Bahadur's Martyrdom Day | fr | Guru Tegh Bahadur's Martyrdom Day
IN | Hazarat Ali's Birthday | pt | Hazarat Ali's Birthday
IN | Hazarat Ali's Birthday | es | Hazarat Ali's Birthday
IN | Hazarat Ali's Birthday | de | Hazarat Ali's Birthday
IN | Hazarat Ali's Birthday | fr | Hazarat Ali's Birthday
IN | Jamat-Ul-Vida | pt | Jamat-Ul-Vida
IN | Jamat-Ul-Vida | es | Jamat-Ul-Vida
IN | Jamat-Ul-Vida | de | Jamat-Ul-Vida
IN | Jamat-Ul-Vida | fr | Jamat-Ul-Vida
IN | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal | pt | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal
IN | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal | es | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal
IN | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal | de | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal
IN | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal | fr | Hazarat Ali's Birthday; Magh Bihu; Makar Sankranti; Pongal
IN | Ram Navami | pt | Ram Navami
IN | Ram Navami | es | Ram Navami
IN | Ram Navami | de | Ram Navami
IN | Ram Navami | fr | Ram Navami
IN | Meshadi (Tamil New Year's Day); Vishu | pt | Meshadi (Tamil New Year's Day); Vishu
IN | Meshadi (Tamil New Year's Day); Vishu | es | Meshadi (Tamil New Year's Day); Vishu
IN | Meshadi (Tamil New Year's Day); Vishu | de | Meshadi (Tamil New Year's Day); Vishu
IN | Meshadi (Tamil New Year's Day); Vishu | fr | Meshadi (Tamil New Year's Day); Vishu
IN | Bahag Bihu; Vaisakhadi | pt | Bahag Bihu; Vaisakhadi
IN | Bahag Bihu; Vaisakhadi | es | Bahag Bihu; Vaisakhadi
IN | Bahag Bihu; Vaisakhadi | de | Bahag Bihu; Vaisakhadi
IN | Bahag Bihu; Vaisakhadi | fr | Bahag Bihu; Vaisakhadi
IN | Janmashtami (Smarta); Parsi New Year | pt | Janmashtami (Smarta); Parsi New Year
IN | Janmashtami (Smarta); Parsi New Year | es | Janmashtami (Smarta); Parsi New Year
IN | Janmashtami (Smarta); Parsi New Year | de | Janmashtami (Smarta); Parsi New Year
IN | Janmashtami (Smarta); Parsi New Year | fr | Janmashtami (Smarta); Parsi New Year
IN | Dussehra (Mahashtami) | pt | Dussehra (Mahashtami)
IN | Dussehra (Mahashtami) | es | Dussehra (Mahashtami)
IN | Dussehra (Mahashtami) | de | Dussehra (Mahashtami)
IN | Dussehra (Mahashtami) | fr | Dussehra (Mahashtami)
IN | Dussehra (Mahanavami) | pt | Dussehra (Mahanavami)
IN | Dussehra (Mahanavami) | es | Dussehra (Mahanavami)
IN | Dussehra (Mahanavami) | de | Dussehra (Mahanavami)
IN | Dussehra (Mahanavami) | fr | Dussehra (Mahanavami)
IN | Republic Day | pt | Dia da República
IN | Republic Day | es | Día de la República
IN | Republic Day | de | Tag der Republik
IN | Republic Day | fr | Jour de la République
IN | Independence Day | pt | Dia da Independência
IN | Independence Day | es | Día de la Independencia
IN | Independence Day | de | Unabhängigkeitstag
IN | Independence Day | fr | Jour de l'Indépendance
IN | Mahatma Gandhi's Jayanti | pt | Jayanti de Mahatma Gandhi
IN | Mahatma Gandhi's Jayanti | es | Jayanti de Mahatma Gandhi
IN | Mahatma Gandhi's Jayanti | de | Mahatma Gandhis Jayanti
IN | Mahatma Gandhi's Jayanti | fr | Jayanti de Mahatma Gandhi
IN | Christmas | pt | Natal
IN | Christmas | es | Navidad
IN | Christmas | de | Weihnachten
IN | Christmas | fr | Noël
IN | Good Friday | pt | Sexta-feira Santa
IN | Good Friday | es | Viernes Santo
IN | Good Friday | de | Karfreitag
IN | Good Friday | fr | Vendredi saint
IN | Id-ul-Fitr | pt | Eid al-Fitr
IN | Id-ul-Fitr | es | Eid al-Fitr
IN | Id-ul-Fitr | de | Eid al-Fitr
IN | Id-ul-Fitr | fr | Aïd el-Fitr
IN | Id-ul-Zuha (Bakrid) | pt | Eid al-Adha (Bakrid)
IN | Id-ul-Zuha (Bakrid) | es | Eid al-Adha (Bakrid)
IN | Id-ul-Zuha (Bakrid) | de | Eid al-Adha (Bakrid)
IN | Id-ul-Zuha (Bakrid) | fr | Aïd el-Adha (Bakrid)
IN | Muharram | pt | Muharram
IN | Muharram | es | Muharram
IN | Muharram | de | Muharram
IN | Muharram | fr | Mouharram
IN | Milad-un-Nabi | pt | Mawlid
IN | Milad-un-Nabi | es | Mawlid
IN | Milad-un-Nabi | de | Mawlid
IN | Milad-un-Nabi | fr | Mawlid
IN | Holi | pt | Holi
IN | Holi | es | Holi
IN | Holi | de | Holi
IN | Holi | fr | Holi
IN | Ram Navami | pt | Rama Navami
IN | Ram Navami | es | Rama Navami
