# civil-holidays-well-known v1
# source: spoken-aliases
# retrieved: 2026-07-22
# note:
#   CURATED SPOKEN ALIASES for the globally well-known holiday set (see
#   chronologia.civil_holidays.WELL_KNOWN). Each row lists the colloquial names
#   a person actually SAYS for a holiday in one language - the surfaces the
#   `holiday_ref` extraction construction binds ("christmas", "when is easter",
#   "next christmas"). These are spoken forms kept as data, deliberately
#   distinct from the official native names (in the per-jurisdiction .tab files)
#   and the display translations (translations.tab). The engine harvests these
#   at LangSpec-load time, unioned with the anchor holiday's translation and its
#   own official native name, and folds them through the same normaliser the
#   matcher uses. Surfaces carry their real orthography (accents included), and
#   colloquial/short forms (xmas, Weihnachten) live here.
# columns: key | lang | surface ;; surface ;; ...
#
# ===== English =====
new_year        | en | new year's day ;; new years day
all_saints      | ca | tots sants ;; dia de tots sants
christmas_eve   | ca | nit de nadal ;; vigília de nadal
christmas       | ca | nadal ;; dia de nadal
boxing_day      | ca | sant esteve
#
# ===== Galician =====
new_year        | gl | aninovo ;; ano novo ;; día de aninovo
new_year_eve    | gl | noitevella ;; fin de ano
epiphany        | gl | día de reis ;; reis ;; epifanía
carnival        | gl | entroido ;; carnaval
palm_sunday     | gl | domingo de ramos
good_friday     | gl | venres santo
easter          | gl | pascua ;; domingo de pascua
easter_monday   | gl | luns de pascua
ascension       | gl | ascensión
pentecost       | gl | pentecoste
whit_monday     | gl | luns de pentecoste
corpus_christi  | gl | corpus christi
assumption      | gl | asunción
all_saints      | gl | día de todos os santos ;; todos os santos
christmas_eve   | gl | noiteboa ;; véspera de nadal
christmas       | gl | nadal ;; día de nadal
boxing_day      | gl | santo estevo
labour_day      | gl | día do traballo ;; día do traballador
galicia_letras_day | gl | día das letras galegas ;; letras galegas
galicia_day     | gl | día de galicia ;; santiago ;; día de santiago ;; santiago apóstolo
#
# ==========================================================================
# EXPANDED SET beyond the Christian/Western core: movable non-Gregorian
# feasts (Islamic/Jewish/Chinese/Persian/Hindu/Buddhist), the Orthodox-Easter
# cycle, secular fixed days, and the jurisdiction-bound tier (mother's/father's
# day). Dates come from the engine's tabulated calendars (Umm al-Qura,
# arithmetic Hebrew, tabulated Chinese, arithmetic Solar Hijri) or, where no
# closed form is modelled (Diwali, Vesak), from decree tables in WELL_KNOWN.
# Native-script surfaces for Arabic/Hebrew carry their own orthography.
# ==========================================================================
#
# ===== English =====
orthodox_easter    | en | orthodox easter ;; greek easter
orthodox_good_friday | en | orthodox good friday
orthodox_easter_monday | en | orthodox easter monday
orthodox_christmas | en | orthodox christmas ;; russian christmas
orthodox_christmas_eve | en | orthodox christmas eve
eid_al_fitr        | en | eid ;; eid al-fitr ;; eid ul-fitr ;; id al-fitr
eid_al_adha        | en | eid al-adha ;; eid ul-adha ;; bakrid
ramadan            | en | ramadan ;; start of ramadan
islamic_new_year   | en | islamic new year ;; hijri new year
ashura             | en | ashura ;; ashoura
mawlid             | en | mawlid ;; milad un nabi ;; prophet's birthday
rosh_hashanah      | en | rosh hashanah ;; rosh hashana
yom_kippur         | en | yom kippur ;; day of atonement
passover           | en | passover ;; pesach
hanukkah           | en | hanukkah ;; chanukah ;; hannukah
chinese_new_year   | en | chinese new year ;; lunar new year ;; spring festival
mid_autumn         | en | mid-autumn festival ;; mid autumn festival ;; mooncake festival
nowruz             | en | nowruz ;; norouz ;; persian new year
diwali             | en | diwali ;; deepavali
vesak              | en | vesak ;; buddha's birthday ;; wesak
halloween          | en | halloween
valentines         | en | valentine's day ;; valentines day ;; saint valentine's day
st_patricks        | en | saint patrick's day ;; st patrick's day ;; st patricks day ;; st paddy's day
thanksgiving       | en | thanksgiving ;; thanksgiving day
mothers_day        | en | mother's day ;; mothers day
fathers_day        | en | father's day ;; fathers day
# English quarter-days + Scottish term-days (fixed-date traditional feasts)
lady_day           | en | lady day
midsummer          | en | midsummer ;; midsummer day
michaelmas         | en | michaelmas ;; michaelmas day
candlemas          | en | candlemas
lammas             | en | lammas ;; lammas day
martinmas          | en | martinmas
#
# ===== Portuguese =====
eid_al_fitr        | pt | eid ;; eid al-fitr ;; fim do ramadão
eid_al_adha        | pt | eid al-adha ;; festa do sacrifício
ramadan            | pt | ramadão ;; ramadan
islamic_new_year   | pt | ano novo islâmico ;; ano novo muçulmano
ashura             | pt | achura
mawlid             | pt | mawlid
rosh_hashanah      | pt | rosh hashaná ;; ano novo judaico
yom_kippur         | pt | yom kippur ;; dia do perdão
passover           | pt | pessach ;; páscoa judaica
hanukkah           | pt | chanucá ;; hanucá
chinese_new_year   | pt | ano novo chinês ;; ano novo lunar
mid_autumn         | pt | festival do meio outono
nowruz             | pt | nowruz ;; ano novo persa
diwali             | pt | diwali
vesak              | pt | vesak
halloween          | pt | dia das bruxas ;; halloween
valentines         | pt | dia dos namorados ;; são valentim
st_patricks        | pt | dia de são patrício
thanksgiving       | pt | ação de graças ;; dia de ação de graças
mothers_day        | pt | dia da mãe
fathers_day        | pt | dia do pai
#
# ===== Spanish =====
eid_al_fitr        | es | eid ;; fiesta del fin del ayuno
eid_al_adha        | es | fiesta del sacrificio ;; eid al-adha
ramadan            | es | ramadán
islamic_new_year   | es | año nuevo islámico ;; año nuevo musulmán
ashura             | es | ashura
mawlid             | es | mawlid
rosh_hashanah      | es | rosh hashaná ;; año nuevo judío
yom_kippur         | es | yom kipur ;; día del perdón
passover           | es | pésaj ;; pascua judía
hanukkah           | es | janucá ;; hanukkah
chinese_new_year   | es | año nuevo chino ;; año nuevo lunar
mid_autumn         | es | festival del medio otoño
nowruz             | es | nowruz ;; año nuevo persa
diwali             | es | diwali
vesak              | es | vesak
halloween          | es | halloween ;; noche de brujas
valentines         | es | san valentín ;; día de san valentín ;; día de los enamorados
st_patricks        | es | día de san patricio
thanksgiving       | es | acción de gracias ;; día de acción de gracias
mothers_day        | es | día de la madre
fathers_day        | es | día del padre
#
# ===== German =====
eid_al_fitr        | de | zuckerfest ;; eid al-fitr
eid_al_adha        | de | opferfest ;; eid al-adha
ramadan            | de | ramadan
islamic_new_year   | de | islamisches neujahr
ashura             | de | aschura
mawlid             | de | mawlid
rosh_hashanah      | de | rosch haschana ;; jüdisches neujahr
yom_kippur         | de | jom kippur ;; versöhnungstag
passover           | de | pessach
hanukkah           | de | chanukka ;; hanukka
chinese_new_year   | de | chinesisches neujahr ;; frühlingsfest
mid_autumn         | de | mondfest
nowruz             | de | nouruz ;; persisches neujahr
diwali             | de | diwali
vesak              | de | vesakh
halloween          | de | halloween
valentines         | de | valentinstag
st_patricks        | de | sankt patrickstag
thanksgiving       | de | thanksgiving
mothers_day        | de | muttertag
fathers_day        | de | vatertag
#
# ===== French =====
eid_al_fitr        | fr | aïd el-fitr ;; aïd ;; fête de la rupture du jeûne
eid_al_adha        | fr | aïd el-adha ;; aïd el-kébir ;; fête du sacrifice
ramadan            | fr | ramadan
islamic_new_year   | fr | nouvel an musulman ;; jour de l'an musulman
ashura             | fr | achoura
mawlid             | fr | mawlid ;; mouloud
rosh_hashanah      | fr | roch hachana ;; nouvel an juif
yom_kippur         | fr | yom kippour ;; grand pardon
passover           | fr | pessah ;; pâque juive
hanukkah           | fr | hanoucca ;; hanoukka
chinese_new_year   | fr | nouvel an chinois ;; nouvel an lunaire
mid_autumn         | fr | fête de la mi-automne ;; fête de la lune
nowruz             | fr | norouz ;; nouvel an persan
diwali             | fr | diwali ;; divali
vesak              | fr | vesak
halloween          | fr | halloween
valentines         | fr | saint-valentin ;; la saint-valentin
st_patricks        | fr | saint-patrick ;; la saint-patrick
thanksgiving       | fr | thanksgiving ;; action de grâce
mothers_day        | fr | fête des mères
fathers_day        | fr | fête des pères
#
# ===== Italian =====
eid_al_fitr        | it | id al-fitr ;; festa della rottura del digiuno
eid_al_adha        | it | id al-adha ;; festa del sacrificio
ramadan            | it | ramadan
islamic_new_year   | it | capodanno islamico
ashura             | it | ashura
mawlid             | it | mawlid
rosh_hashanah      | it | rosh hashanah ;; capodanno ebraico
yom_kippur         | it | yom kippur ;; giorno dell'espiazione
passover           | it | pesach ;; pasqua ebraica
hanukkah           | it | hanukkah ;; chanukkah
chinese_new_year   | it | capodanno cinese ;; capodanno lunare
mid_autumn         | it | festa di metà autunno
nowruz             | it | nowruz ;; capodanno persiano
diwali             | it | diwali
vesak              | it | vesak
halloween          | it | halloween
valentines         | it | san valentino
st_patricks        | it | san patrizio
thanksgiving       | it | giorno del ringraziamento ;; ringraziamento
mothers_day        | it | festa della mamma
fathers_day        | it | festa del papà
#
# ===== Dutch =====
eid_al_fitr        | nl | suikerfeest ;; eid al-fitr
eid_al_adha        | nl | offerfeest ;; eid al-adha
ramadan            | nl | ramadan
islamic_new_year   | nl | islamitisch nieuwjaar
ashura             | nl | asjoera
mawlid             | nl | mawlid
rosh_hashanah      | nl | rosj hasjana ;; joods nieuwjaar
yom_kippur         | nl | jom kipoer ;; grote verzoendag
passover           | nl | pesach ;; joods pasen
hanukkah           | nl | chanoeka ;; hanoeka
chinese_new_year   | nl | chinees nieuwjaar ;; chinees lunair nieuwjaar
mid_autumn         | nl | midherfstfestival ;; maanfeest
nowruz             | nl | noroez ;; perzisch nieuwjaar
diwali             | nl | diwali
vesak              | nl | vesak
halloween          | nl | halloween
valentines         | nl | valentijnsdag
st_patricks        | nl | sint-patricksdag
thanksgiving       | nl | thanksgiving
mothers_day        | nl | moederdag
fathers_day        | nl | vaderdag
#
# ===== Catalan =====
eid_al_fitr        | ca | id al-fitr
eid_al_adha        | ca | festa del sacrifici
ramadan            | ca | ramadà
rosh_hashanah      | ca | any nou jueu
yom_kippur         | ca | yom kippur
passover           | ca | péssaj ;; pasqua jueva
hanukkah           | ca | hanukà
chinese_new_year   | ca | any nou xinès ;; any nou lunar
mid_autumn         | ca | festa de la tardor
nowruz             | ca | nowruz
diwali             | ca | diwali
vesak              | ca | vesak
halloween          | ca | halloween ;; nit de les bruixes
valentines         | ca | sant valentí ;; dia de sant valentí
st_patricks        | ca | sant patrici
thanksgiving       | ca | acció de gràcies
mothers_day        | ca | dia de la mare
fathers_day        | ca | dia del pare
#
# ===== Galician =====
eid_al_fitr        | gl | eid
eid_al_adha        | gl | festa do sacrificio
ramadan            | gl | ramadán
rosh_hashanah      | gl | ano novo xudeu
yom_kippur         | gl | yom kippur
passover           | gl | pésaj ;; pascua xudía
hanukkah           | gl | janucá
chinese_new_year   | gl | ano novo chinés ;; ano novo lunar
mid_autumn         | gl | festa do medio outono
nowruz             | gl | nowruz
diwali             | gl | diwali
vesak              | gl | vesak
halloween          | gl | samaín ;; halloween
valentines         | gl | san valentín ;; día dos namorados
st_patricks        | gl | san patricio
thanksgiving       | gl | acción de grazas
mothers_day        | gl | día da nai
fathers_day        | gl | día do pai
#
# ===== Arabic (native script) =====
eid_al_fitr        | ar | عيد الفطر ;; العيد الصغير
eid_al_adha        | ar | عيد الأضحى ;; العيد الكبير
ramadan            | ar | رمضان ;; شهر رمضان
islamic_new_year   | ar | رأس السنة الهجرية ;; السنة الهجرية
ashura             | ar | عاشوراء
mawlid             | ar | المولد النبوي ;; المولد
rosh_hashanah      | ar | رأس السنة اليهودية
yom_kippur         | ar | يوم الغفران
passover           | ar | عيد الفصح اليهودي
hanukkah           | ar | حانوكا
chinese_new_year   | ar | رأس السنة الصينية
nowruz             | ar | نوروز
diwali             | ar | ديوالي
#
# ===== Hebrew (native script) =====
rosh_hashanah      | he | ראש השנה
yom_kippur         | he | יום כיפור ;; יום הכיפורים
passover           | he | פסח ;; חג הפסח
hanukkah           | he | חנוכה
eid_al_fitr        | he | עיד אל-פיטר
ramadan            | he | רמדאן
chinese_new_year   | he | ראש השנה הסיני
nowruz             | he | נורוז
#
# ===== Danish =====
new_year           | da | nytårsdag ;; nytår
new_year_eve       | da | nytårsaften
epiphany           | da | helligtrekonger ;; hellig tre konger
carnival           | da | fastelavn
palm_sunday     | da | palmesøndag
maundy_thursday    | da | skærtorsdag
denmark_great_prayer_day | da | store bededag ;; storebededag
good_friday        | da | langfredag
easter             | da | påske ;; påskedag ;; påskesøndag
easter_monday      | da | anden påskedag ;; påskemandag
ascension          | da | kristi himmelfartsdag ;; kristi himmelfart
pentecost          | da | pinse ;; pinsedag
whit_monday        | da | anden pinsedag ;; pinsemandag
all_saints         | da | allehelgen ;; alle helgens dag
christmas_eve      | da | juleaften ;; juleaftensdag
christmas          | da | jul ;; juledag ;; første juledag
boxing_day         | da | anden juledag
eid_al_fitr        | da | eid al-fitr
eid_al_adha        | da | eid al-adha
ramadan            | da | ramadan
islamic_new_year   | da | islamisk nytår
ashura             | da | ashura
mawlid             | da | mawlid
rosh_hashanah      | da | rosh hashana ;; jødisk nytår
yom_kippur         | da | yom kippur
passover           | da | pesach ;; jødisk påske
hanukkah           | da | hanukka ;; chanukka
chinese_new_year   | da | kinesisk nytår
mid_autumn         | da | månefesten
nowruz             | da | nowruz ;; persisk nytår
diwali             | da | diwali
vesak              | da | vesak
halloween          | da | halloween
valentines         | da | valentinsdag
st_patricks        | da | sankt patricks dag
thanksgiving       | da | thanksgiving
mothers_day        | da | mors dag
fathers_day        | da | fars dag
#
# ===== Swedish =====
new_year           | sv | nyårsdagen ;; nyår
new_year_eve       | sv | nyårsafton
epiphany           | sv | trettondedag jul ;; trettondagen
carnival           | sv | fastlagen
palm_sunday     | sv | palmsöndagen
good_friday        | sv | långfredagen
easter             | sv | påsk ;; påskdagen
easter_monday      | sv | annandag påsk
ascension          | sv | kristi himmelsfärds dag ;; kristi himmelsfärd
pentecost          | sv | pingst ;; pingstdagen
whit_monday        | sv | annandag pingst
all_saints         | sv | alla helgons dag
christmas_eve      | sv | julafton
christmas          | sv | jul ;; juldagen
boxing_day         | sv | annandag jul
eid_al_fitr        | sv | eid al-fitr
eid_al_adha        | sv | eid al-adha
ramadan            | sv | ramadan
islamic_new_year   | sv | islamiskt nyår
ashura             | sv | ashura
mawlid             | sv | mawlid
rosh_hashanah      | sv | rosh hashana ;; judiskt nyår
yom_kippur         | sv | jom kippur
passover           | sv | pesach ;; judisk påsk
hanukkah           | sv | chanukka ;; hanukka
chinese_new_year   | sv | kinesiskt nyår
mid_autumn         | sv | månfestivalen
nowruz             | sv | nowruz ;; persiskt nyår
diwali             | sv | diwali
vesak              | sv | vesak
halloween          | sv | halloween
valentines         | sv | alla hjärtans dag
st_patricks        | sv | sankt patriks dag
thanksgiving       | sv | thanksgiving
mothers_day        | sv | mors dag
fathers_day        | sv | fars dag
#
# ===== Norwegian Bokmål =====
new_year           | nb | nyttårsdag ;; nyttår
new_year_eve       | nb | nyttårsaften
epiphany           | nb | helligtrekongersdag
carnival           | nb | karneval
palm_sunday     | nb | palmesøndag
good_friday        | nb | langfredag
easter             | nb | påske ;; første påskedag ;; påskedag
easter_monday      | nb | andre påskedag ;; annen påskedag
ascension          | nb | kristi himmelfartsdag
pentecost          | nb | pinse ;; første pinsedag
whit_monday        | nb | andre pinsedag
all_saints         | nb | allehelgensdag
christmas_eve      | nb | julaften
christmas          | nb | jul ;; første juledag ;; juledag
boxing_day         | nb | andre juledag ;; annen juledag
eid_al_fitr        | nb | eid al-fitr
eid_al_adha        | nb | eid al-adha
ramadan            | nb | ramadan
islamic_new_year   | nb | islamsk nyttår
ashura             | nb | ashura
mawlid             | nb | mawlid
rosh_hashanah      | nb | rosh hashana ;; jødisk nyttår
yom_kippur         | nb | jom kippur
passover           | nb | pesach ;; jødisk påske
hanukkah           | nb | hanukka ;; chanukka
chinese_new_year   | nb | kinesisk nyttår
mid_autumn         | nb | månefesten
nowruz             | nb | nowruz ;; persisk nyttår
diwali             | nb | diwali
vesak              | nb | vesak
halloween          | nb | halloween
valentines         | nb | valentinsdag
st_patricks        | nb | sankt patricks dag
thanksgiving       | nb | thanksgiving
mothers_day        | nb | morsdag
fathers_day        | nb | farsdag
#
# ===== Norwegian Nynorsk =====
new_year           | nn | nyttårsdag ;; nyttår
new_year_eve       | nn | nyttårsaftan
epiphany           | nn | heilagtrekongarsdag
carnival           | nn | karneval
palm_sunday     | nn | palmesundag
good_friday        | nn | langfredag
easter             | nn | påske ;; fyrste påskedag ;; påskedag
easter_monday      | nn | andre påskedag
ascension          | nn | kristi himmelfartsdag
pentecost          | nn | pinse ;; fyrste pinsedag
whit_monday        | nn | andre pinsedag
all_saints         | nn | allehelgensdag
christmas_eve      | nn | julaftan
christmas          | nn | jul ;; fyrste juledag ;; juledag
boxing_day         | nn | andre juledag
eid_al_fitr        | nn | eid al-fitr
eid_al_adha        | nn | eid al-adha
ramadan            | nn | ramadan
islamic_new_year   | nn | islamsk nyttår
ashura             | nn | ashura
mawlid             | nn | mawlid
rosh_hashanah      | nn | rosh hashana ;; jødisk nyttår
yom_kippur         | nn | jom kippur
passover           | nn | pesach ;; jødisk påske
hanukkah           | nn | hanukka ;; chanukka
chinese_new_year   | nn | kinesisk nyttår
mid_autumn         | nn | månefesten
nowruz             | nn | nowruz ;; persisk nyttår
diwali             | nn | diwali
vesak              | nn | vesak
halloween          | nn | halloween
valentines         | nn | valentinsdag
st_patricks        | nn | sankt patricks dag
thanksgiving       | nn | thanksgiving
mothers_day        | nn | morsdag
fathers_day        | nn | farsdag
#
# ===== West Frisian =====
new_year           | fy | nijjiersdei ;; nijjier
new_year_eve       | fy | âldjiersjûn
epiphany           | fy | driekeningen
carnival           | fy | karnaval
palm_sunday     | fy | palmsnein
good_friday        | fy | goedfreed
easter             | fy | peaske ;; earste peaskedei
easter_monday      | fy | twadde peaskedei
ascension          | fy | himelfeartsdei
pentecost          | fy | pinkster ;; earste pinksterdei
whit_monday        | fy | twadde pinksterdei
all_saints         | fy | allerheljen
christmas_eve      | fy | krystjûn
christmas          | fy | kryst ;; krysttiid ;; earste krystdei
boxing_day         | fy | twadde krystdei
eid_al_fitr        | fy | eid al-fitr
eid_al_adha        | fy | eid al-adha
ramadan            | fy | ramadan
islamic_new_year   | fy | islamitysk nijjier
ashura             | fy | asjûra
mawlid             | fy | mawlid
rosh_hashanah      | fy | rosj hasjana ;; joadsk nijjier
yom_kippur         | fy | jom kipoer
passover           | fy | pesach ;; joadske peaske
hanukkah           | fy | chanoeka ;; hanoeka
chinese_new_year   | fy | sineesk nijjier
mid_autumn         | fy | maanfeest
nowruz             | fy | nowruz ;; perzysk nijjier
diwali             | fy | diwali
vesak              | fy | vesak
halloween          | fy | halloween
valentines         | fy | falentynsdei
st_patricks        | fy | sint-patricksdei
thanksgiving       | fy | thanksgiving
mothers_day        | fy | memmedei
fathers_day        | fy | heitedei
# ===== Finnish =====
new_year        | fi | uusivuosi ;; uudenvuodenpäivä
new_year_eve    | fi | uudenvuodenaatto
epiphany        | fi | loppiainen
palm_sunday     | fi | palmusunnuntai
good_friday     | fi | pitkäperjantai
easter          | fi | pääsiäinen ;; pääsiäissunnuntai
easter_monday   | fi | toinen pääsiäispäivä ;; 2. pääsiäispäivä
ascension       | fi | helatorstai
pentecost       | fi | helluntai
all_saints      | fi | pyhäinpäivä
christmas_eve   | fi | jouluaatto
christmas       | fi | joulu ;; joulupäivä
boxing_day      | fi | tapaninpäivä
eid_al_fitr     | fi | id al-fitr ;; eid
ramadan         | fi | ramadan
rosh_hashanah   | fi | juutalainen uusivuosi
yom_kippur      | fi | jom kippur
passover        | fi | pesah
hanukkah        | fi | hanukka
chinese_new_year| fi | kiinalainen uusivuosi
nowruz          | fi | nowruz
diwali          | fi | diwali
vesak           | fi | vesak
halloween       | fi | halloween
valentines      | fi | ystävänpäivä
#
# ===== Estonian =====
new_year        | et | uusaasta ;; uue aasta päev
new_year_eve    | et | vana-aastaõhtu
epiphany        | et | kolmekuningapäev
palm_sunday     | et | palmipuudepüha
good_friday     | et | suur reede
easter          | et | lihavõtted ;; ülestõusmispühad
easter_monday   | et | teine ülestõusmispüha
ascension       | et | taevaminemispüha
pentecost       | et | nelipühad
all_saints      | et | hingedepäev
christmas_eve   | et | jõululaupäev
christmas       | et | jõulud ;; esimene jõulupüha
boxing_day      | et | teine jõulupüha
eid_al_fitr     | et | id al-fitr ;; eid
ramadan         | et | ramadaan
rosh_hashanah   | et | juudi uusaasta
yom_kippur      | et | jom kippur
passover        | et | paasapüha
hanukkah        | et | hanukaa
chinese_new_year| et | hiina uusaasta
nowruz          | et | nowruz
diwali          | et | diwali
vesak           | et | vesak
halloween       | et | halloween
valentines      | et | sõbrapäev
#
# ===== Hungarian =====
new_year        | hu | újév ;; újév napja
new_year_eve    | hu | szilveszter
epiphany        | hu | vízkereszt ;; háromkirályok
palm_sunday     | hu | virágvasárnap
good_friday     | hu | nagypéntek
easter          | hu | húsvét ;; húsvétvasárnap
easter_monday   | hu | húsvéthétfő
ascension       | hu | mennybemenetel
pentecost       | hu | pünkösd
all_saints      | hu | mindenszentek
