# civil-holidays v1
# jurisdiction: MY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Malaysia
#   (the federal gazetted holidays, Holidays Act 1951). Cross-checked against
#   vacanza/holidays 0.101 (MIT). Names are the official Malay.
#
#   MAXIMAL CALENDAR MIXER — Islamic + Chinese + Hindu + Buddhist + civil:
#     * Islamic (islamic_civil, tabulated): Hari Raya Puasa, Hari Raya Qurban,
#       Awal Muharam, Hari Keputeraan Nabi Muhammad — arithmetic Hijri, ±1-2
#       days from the sighted dates (catalogued in the differential test).
#     * Chinese (Tahun Baharu Cina), Buddhist (Hari Wesak) and Hindu (Hari
#       Deepavali): decree rows carrying the gazetted dates. Deepavali is
#       federally gazetted but the reference package places it only at the
#       state level, so it is an our-only national row here.
#     * Hari Keputeraan Agong (the King's official birthday) is fixed by
#       proclamation to the first Monday of June — an nth_weekday rule.
#   The remaining national days are fixed Gregorian dates.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
# --- fixed civil ---
fixed | Hari Pekerja      | 5 1   | public          |  |
fixed | Hari Kebangsaan   | 8 31  | public          |  |
fixed | Hari Malaysia     | 9 16  | public          |  |
fixed | Hari Krismas      | 12 25 | public religious |  |
#
# --- King's official birthday (first Monday of June, by proclamation) ---
nth_weekday | Hari Keputeraan Rasmi Seri Paduka Baginda Yang di-Pertuan Agong | 6 1 0 | public |  |
#
# --- Islamic (tabular Hijri = islamic_civil) ---
calendar_date | Hari Raya Puasa                 | islamic_civil 10 1  | public religious |  |
calendar_date | Hari Raya Puasa (Hari Kedua)    | islamic_civil 10 2  | public religious |  |
calendar_date | Hari Raya Qurban                | islamic_civil 12 10 | public religious |  |
calendar_date | Awal Muharam                    | islamic_civil 1 1   | public religious |  |
calendar_date | Hari Keputeraan Nabi Muhammad S.A.W. | islamic_civil 3 12 | public religious |  |
#
# --- decree-tabulated (Chinese / Buddhist / Hindu) ---
decree | Tahun Baharu Cina              | 2023-01-22 2024-02-10 2025-01-29 2026-02-17 | public religious |  ||  |  | chinese_new_year
decree | Tahun Baharu Cina (Hari Kedua) | 2023-01-23 2024-02-11 2025-01-30 2026-02-18 | public religious |  |
decree | Hari Wesak                     | 2023-05-04 2024-05-22 2025-05-12 2026-05-31 | public religious |  |
decree | Hari Deepavali                 | 2023-11-12 2024-10-31 2025-10-20 | public religious |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# MY-01
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-01 |  |  | 
fixed | Cuti Awal Muharam; Cuti Hari Ulang Tahun Perisytiharan Tapak Warisan Dunia | 7 8 | regional | MY-07 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-07 |  |  | 
fixed | Hari Ulang Tahun Perisytiharan Tapak Warisan Dunia | 7 7 | regional | MY-07 |  |  | 
decree | Awal Muharam | 2025-6-27 2026-6-17 | regional | MY-07 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-07 |  |  | 
# MY-08
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-08 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-08 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-08 |  |  | 
nth_weekday | Hari Keputeraan Sultan Perak | 11 1 4 | regional | MY-08 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-08 |  |  | 
# MY-09
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-09 |  |  | 
decree | Israk dan Mikraj | 2024-2-8 2025-1-27 2026-1-17 | regional religious | MY-09 |  |  | 
fixed | Hari Ulang Tahun Keputeraan Raja Perlis | 5 17 | regional | MY-09 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-09 |  |  | 
fixed | Cuti Hari Raya Qurban (Hari Kedua) | 6 9 | regional religious | MY-09 |  |  | 
decree | Hari Raya Qurban (Hari Kedua) | 2024-6-18 2025-6-8 2026-5-28 | regional religious | MY-09 |  |  | 
# MY-10
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-10 |  |  | 
fixed | Hari Keputeraan Sultan Selangor | 12 11 | regional | MY-10 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-10 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-10 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-10 |  |  | 
# MY-11
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-11 |  |  | 
fixed | Hari Ulang Tahun Pertabalan Sultan Terengganu | 3 4 | regional | MY-11 |  |  | 
fixed | Cuti Hari Keputeraan Sultan Terengganu | 4 27 | regional | MY-11 |  |  | 
decree | Israk dan Mikraj | 2024-2-8 2025-1-27 2026-1-17 | regional religious | MY-11 |  |  | 
fixed | Hari Keputeraan Sultan Terengganu | 4 26 | regional | MY-11 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-11 |  |  | 
fixed | Cuti Hari Raya Qurban | 6 9 | regional religious | MY-11 |  |  | 
fixed | Cuti Hari Kebangsaan | 9 1 | regional | MY-11 |  |  | 
decree | Hari Raya Qurban (Hari Kedua) | 2024-6-18 2025-6-8 2026-5-28 | regional religious | MY-11 |  |  | 
decree | Hari Arafah | 2024-6-16 2025-6-6 2026-5-26 | regional religious | MY-11 |  |  | 
fixed | Cuti Tahun Baharu Cina | 2 12 | regional | MY-11 |  |  | 
# MY-12
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-12 |  |  | 
decree | Pesta Kaamatan | 2024-5-30 2024-5-31 2025-5-30 2025-5-31 2026-5-30 2027-5-30 2027-5-31 | regional | MY-12 |  |  | 
decree | Hari Jadi Yang di-Pertua Negeri Sabah | 2024-10-5 2025-3-30 2026-3-30 2027-3-30 | regional | MY-12 |  |  | 
fixed | Krismas (Eve) | 12 24 | regional | MY-12 |  |  | 
easter | Good Friday | -2 | regional religious | MY-12 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-12 |  |  | 
# MY-13
nth_weekday | Cuti Perayaan Hari Gawai Dayak | 6 1 1 | regional | MY-13 |  |  | 
nth_weekday | Hari Jadi Yang di-Pertua Negeri Sarawak | 10 2 5 | regional | MY-13 |  |  | 
easter | Good Friday | -2 | regional religious | MY-13 |  |  | 
fixed | Hari Kemerdekaan Sarawak | 7 22 | regional | MY-13 |  |  | 
decree | Hari Keputeraan Rasmi Seri Paduka Baginda Yang di-Pertuan Agong | 2024-6-3 2026-6-1 2027-6-7 | regional | MY-13 |  |  | 
nth_weekday | Hari Keputeraan Rasmi Seri Paduka Baginda Yang di-Pertuan Agong; Perayaan Hari Gawai Dayak | 6 1 0 | regional | MY-13 |  |  | 
decree | Perayaan Hari Gawai Dayak | 2024-6-1 2024-6-2 2025-6-1 2026-6-2 2027-6-1 2027-6-2 | regional | MY-13 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-13 |  |  | 
# MY-14
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-14 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-14 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-14 |  |  | 
fixed | Hari Wilayah Persekutuan | 2 1 | regional | MY-14 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-14 |  |  | 
# MY-15
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-15 |  |  | 
decree | Pesta Kaamatan | 2024-5-30 2024-5-31 2025-5-30 2025-5-31 2026-5-30 2027-5-30 2027-5-31 | regional | MY-15 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-15 |  |  | 
fixed | Hari Wilayah Persekutuan | 2 1 | regional | MY-15 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-15 |  |  | 
# MY-16
decree | Hari Deepavali | 2024-10-31 2025-10-20 2026-11-8 2027-10-28 | regional religious | MY-16 |  |  | 
decree | Hari Nuzul Al-Quran | 2024-3-28 2025-3-18 2026-3-7 | regional religious | MY-16 |  |  | 
decree | Hari Thaipusam | 2024-1-25 2025-2-11 2026-2-1 2027-1-22 | regional religious | MY-16 |  |  | 
fixed | Hari Wilayah Persekutuan | 2 1 | regional | MY-16 |  |  | 
fixed | Tahun Baharu | 1 1 | regional | MY-16 |  |  | 
