# civil-holidays v1
# jurisdiction: CH
# source: https://www.bj.admin.ch/bj/de/home/staat/nationalfeiertag/feiertage.html
#   (Swiss federal justice office overview of public holidays. Local copy
#   papers/holidays/ch_holidays.md.) Only 1 August (Bundesfeier) is a
#   federally-mandated holiday; the Confederation lets each canton fix its own,
#   so the "national" set here is the four days observed de-facto everywhere
#   (Neujahr, Auffahrt/Ascension, Bundesfeier, Weihnachten). The other holidays
#   are CANTONAL. With 26 cantons a full enumeration is out of scope; we ship a
#   documented 6-canton sample exercising the split types — Protestant/Catholic,
#   German/French/Italian, Berchtoldstag, the Genevan Jeûne and Restauration:
#     CH-ZH Zürich · CH-BE Bern · CH-LU Luzern (Catholic) · CH-TI Ticino
#     (Italian/Catholic) · CH-GE Genève (Jeûne genevois + Restauration) ·
#     CH-VS Valais (Catholic).
#   Cantonal dates cited in papers/holidays/ch_holidays.md.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# --- Everywhere (de-facto national) ---
# National holidays carry all three main official languages (de/fr/it); the
# German primary name is the join key used by the golds.
fixed   | de:Neujahrstag ;; fr:Nouvel An ;; it:Capodanno       | 1 1   | public          |  |
easter | Ostermontag | 1 | regional religious | CH-BL | 
easter | Pfingstmontag | 50 | regional religious | CH-BL | 
easter | Karfreitag | -2 | regional religious | CH-BL | 
fixed | Stephanstag | 12 26 | regional | CH-BL | 
fixed | Tag der Arbeit | 5 1 | regional | CH-BL | 
# CH-BS
easter | Ostermontag | 1 | regional religious | CH-BS | 
easter | Pfingstmontag | 50 | regional religious | CH-BS | 
easter | Karfreitag | -2 | regional religious | CH-BS | 
fixed | Stephanstag | 12 26 | regional | CH-BS | 
fixed | Tag der Arbeit | 5 1 | regional | CH-BS | 
# CH-FR
easter | Karfreitag | -2 | regional religious | CH-FR | 
# CH-GE
easter | Ostermontag | 1 | regional religious | CH-GE | 
easter | Pfingstmontag | 50 | regional religious | CH-GE | 
easter | Karfreitag | -2 | regional religious | CH-GE | 
fixed | Wiederherstellung der Republik | 12 31 | regional | CH-GE | 
weekday_onbefore | Genfer Bettag | 9 11 3 | regional | CH-GE | 
# CH-GL
easter | Ostermontag | 1 | regional religious | CH-GL | 
easter | Karfreitag | -2 | regional religious | CH-GL | 
easter | Pfingstmontag | 50 | regional religious | CH-GL | 
fixed | Stephanstag | 12 26 | regional | CH-GL | 
decree | Näfelser Fahrt | 2024-4-4 2025-4-3 2026-4-9 2027-4-1 | regional | CH-GL | 
fixed | Allerheiligen | 11 1 | regional religious | CH-GL | 
# CH-GR
easter | Ostermontag | 1 | regional religious | CH-GR | 
easter | Pfingstmontag | 50 | regional religious | CH-GR | 
fixed | Stephanstag | 12 26 | regional | CH-GR | 
# CH-JU
easter | Ostermontag | 1 | regional religious | CH-JU | 
fixed | Berchtoldstag | 1 2 | regional | CH-JU | 
easter | Fronleichnam | 60 | regional religious | CH-JU | 
easter | Pfingstmontag | 50 | regional religious | CH-JU | 
easter | Karfreitag | -2 | regional religious | CH-JU | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-JU | 
fixed | Tag der Arbeit | 5 1 | regional | CH-JU | 
fixed | Fest der Unabhängigkeit | 6 23 | regional | CH-JU | 
fixed | Allerheiligen | 11 1 | regional religious | CH-JU | 
# CH-LU
easter | Ostermontag | 1 | regional religious | CH-LU | 
easter | Fronleichnam | 60 | regional religious | CH-LU | 
easter | Pfingstmontag | 50 | regional religious | CH-LU | 
easter | Karfreitag | -2 | regional religious | CH-LU | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-LU | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-LU | 
fixed | Stephanstag | 12 26 | regional | CH-LU | 
fixed | Allerheiligen | 11 1 | regional religious | CH-LU | 
fixed | Berchtoldstag | 1 2 | regional | CH-LU | 
# CH-NE
easter | Fronleichnam | 60 | regional religious | CH-NE | 
easter | Karfreitag | -2 | regional religious | CH-NE | 
fixed | Jahrestag der Ausrufung der Republik | 3 1 | regional | CH-NE | 
fixed | Tag der Arbeit | 5 1 | regional | CH-NE | 
# CH-NW
easter | Fronleichnam | 60 | regional religious | CH-NW | 
easter | Karfreitag | -2 | regional religious | CH-NW | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-NW | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-NW | 
fixed | Allerheiligen | 11 1 | regional religious | CH-NW | 
fixed | Josefstag | 3 19 | regional | CH-NW | 
# CH-OW
easter | Fronleichnam | 60 | regional religious | CH-OW | 
easter | Karfreitag | -2 | regional religious | CH-OW | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-OW | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-OW | 
fixed | Bruder Klaus | 9 25 | regional | CH-OW | 
fixed | Allerheiligen | 11 1 | regional religious | CH-OW | 
# CH-SG
easter | Ostermontag | 1 | regional religious | CH-SG | 
easter | Pfingstmontag | 50 | regional religious | CH-SG | 
easter | Karfreitag | -2 | regional religious | CH-SG | 
fixed | Stephanstag | 12 26 | regional | CH-SG | 
fixed | Allerheiligen | 11 1 | regional religious | CH-SG | 
# CH-SH
easter | Ostermontag | 1 | regional religious | CH-SH | 
easter | Pfingstmontag | 50 | regional religious | CH-SH | 
easter | Karfreitag | -2 | regional religious | CH-SH | 
fixed | Stephanstag | 12 26 | regional | CH-SH | 
fixed | Tag der Arbeit | 5 1 | regional | CH-SH | 
# CH-SO
easter | Karfreitag | -2 | regional religious | CH-SO | 
# CH-SZ
easter | Ostermontag | 1 | regional religious | CH-SZ | 
easter | Fronleichnam | 60 | regional religious | CH-SZ | 
easter | Pfingstmontag | 50 | regional religious | CH-SZ | 
easter | Karfreitag | -2 | regional religious | CH-SZ | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-SZ | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-SZ | 
fixed | Stephanstag | 12 26 | regional | CH-SZ | 
fixed | Heilige Drei Könige | 1 6 | regional religious | CH-SZ | 
fixed | Allerheiligen | 11 1 | regional religious | CH-SZ | 
fixed | Josefstag | 3 19 | regional | CH-SZ | 
# CH-TG
easter | Ostermontag | 1 | regional religious | CH-TG | 
easter | Karfreitag | -2 | regional religious | CH-TG | 
easter | Pfingstmontag | 50 | regional religious | CH-TG | 
fixed | Stephanstag | 12 26 | regional | CH-TG | 
fixed | Tag der Arbeit | 5 1 | regional | CH-TG | 
fixed | Berchtoldstag | 1 2 | regional | CH-TG | 
# CH-TI
easter | Ostermontag | 1 | regional religious | CH-TI | 
easter | Fronleichnam | 60 | regional religious | CH-TI | 
easter | Pfingstmontag | 50 | regional religious | CH-TI | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-TI | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-TI | 
fixed | Stephanstag | 12 26 | regional | CH-TI | 
fixed | Heilige Drei Könige | 1 6 | regional religious | CH-TI | 
fixed | Tag der Arbeit | 5 1 | regional | CH-TI | 
fixed | Peter und Paul | 6 29 | regional | CH-TI | 
fixed | Allerheiligen | 11 1 | regional religious | CH-TI | 
fixed | Josefstag | 3 19 | regional | CH-TI | 
# CH-UR
easter | Ostermontag | 1 | regional religious | CH-UR | 
easter | Fronleichnam | 60 | regional religious | CH-UR | 
easter | Pfingstmontag | 50 | regional religious | CH-UR | 
easter | Karfreitag | -2 | regional religious | CH-UR | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-UR | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-UR | 
fixed | Stephanstag | 12 26 | regional | CH-UR | 
fixed | Heilige Drei Könige | 1 6 | regional religious | CH-UR | 
fixed | Allerheiligen | 11 1 | regional religious | CH-UR | 
fixed | Josefstag | 3 19 | regional | CH-UR | 
# CH-VD
easter | Ostermontag | 1 | regional religious | CH-VD | 
easter | Pfingstmontag | 50 | regional religious | CH-VD | 
easter | Karfreitag | -2 | regional religious | CH-VD | 
weekday_onbefore | Bettagsmontag | 9 22 0 | regional | CH-VD | 
fixed | Berchtoldstag | 1 2 | regional | CH-VD | 
# CH-VS
easter | Fronleichnam | 60 | regional religious | CH-VS | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-VS | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-VS | 
fixed | Allerheiligen | 11 1 | regional religious | CH-VS | 
fixed | Josefstag | 3 19 | regional | CH-VS | 
# CH-ZG
easter | Fronleichnam | 60 | regional religious | CH-ZG | 
easter | Karfreitag | -2 | regional religious | CH-ZG | 
fixed | Mariä Empfängnis | 12 8 | regional religious | CH-ZG | 
fixed | Mariä Himmelfahrt | 8 15 | regional religious | CH-ZG | 
fixed | Allerheiligen | 11 1 | regional religious | CH-ZG | 
# CH-ZH
easter | Ostermontag | 1 | regional religious | CH-ZH | 
easter | Pfingstmontag | 50 | regional religious | CH-ZH | 
easter | Karfreitag | -2 | regional religious | CH-ZH | 
fixed | Stephanstag | 12 26 | regional | CH-ZH | 
fixed | Tag der Arbeit | 5 1 | regional | CH-ZH | 
