# civil-holidays v1
# jurisdiction: US
# source: https://en.wikipedia.org/wiki/Federal_holidays_in_the_United_States
#   (OPM list, 5 U.S.C. 6103; observed rule: Sat -> preceding Fri, Sun -> following Mon)
#   Juneteenth National Independence Day became a federal holiday only when the
#   Juneteenth National Independence Day Act was signed 17 June 2021 (see the
#   cited page), so its rule carries a "2021-" validity range.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# --- federal (public) holidays ---
fixed       | New Year's Day                       | 1 1     | public          |  | us
# --- US-LA ---
easter      | Mardi Gras | -47 | public religious | US-LA |
easter      | Good Friday | -2 | public religious | US-LA |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-LA |
# --- US-MA ---
nth_weekday | Patriots' Day | 4 3 0 | public | US-MA |
# --- US-MD ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-MD |
nth_weekday | American Indian Heritage Day | 11 4 3 1 | public | US-MD |
# --- US-ME ---
nth_weekday | Patriots' Day | 4 3 0 | public | US-ME |
nth_weekday | Indigenous Peoples' Day | 10 2 0 | public | US-ME |
# --- US-MI ---
fixed       | Christmas Eve | 12 24 | public religious | US-MI |
fixed       | New Year's Eve | 12 31 | public | US-MI |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-MI |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-MI |
# --- US-MN ---
nth_weekday | Washington's and Lincoln's Birthday | 2 3 0 | public | US-MN |
# --- US-MO ---
fixed       | Truman Day | 5 8 | public | US-MO |
# --- US-MP ---
fixed       | Commonwealth Covenant Day | 3 24 | public | US-MP |
easter      | Good Friday | -2 | public religious | US-MP |
nth_weekday | Commonwealth Cultural Day | 10 2 0 | public | US-MP |
fixed       | Citizenship Day | 11 4 | public | US-MP |
fixed       | Constitution Day | 12 8 | public | US-MP |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-MP |
# --- US-MS ---
nth_weekday | Dr. Martin Luther King Jr. and Robert E. Lee's Birthdays | 1 3 0 | public | US-MS |
nth_weekday | Confederate Memorial Day | 4 -1 0 | public | US-MS |
# --- US-MT ---
nth_weekday | Lincoln's and Washington's Birthdays | 2 3 0 | public | US-MT |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-MT |
# --- US-NC ---
easter      | Good Friday | -2 | public religious | US-NC |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-NC |
fixed       | Christmas Eve | 12 24 | public religious | US-NC |
fixed       | Day After Christmas | 12 26 | public | US-NC |
# --- US-NE ---
nth_weekday | Arbor Day | 4 -1 4 | public | US-NE |
nth_weekday | Indigenous Peoples' Day | 10 2 0 | public | US-NE |
# --- US-NH ---
nth_weekday | Dr. Martin Luther King Jr. / Civil Rights Day | 1 3 0 | public | US-NH |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-NH |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-NH |
# --- US-NJ ---
fixed       | Lincoln's Birthday | 2 12 | public | US-NJ |
nth_weekday | Presidents Day | 2 3 0 | public | US-NJ |
easter      | Good Friday | -2 | public religious | US-NJ |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-NJ |
# --- US-NM ---
# New Mexico applies the "Presidents' Day" label to the day after Thanksgiving
# (its February third Monday is not a state holiday) -- reference-attributed.
nth_weekday | Indigenous Peoples' Day | 10 2 0 | public | US-NM |
nth_weekday | Presidents' Day | 11 4 3 1 | public | US-NM |
# --- US-NV ---
nth_weekday | Nevada Day | 10 -1 4 | public | US-NV |
nth_weekday | Family Day | 11 4 3 1 | public | US-NV |
# --- US-NY ---
fixed       | Lincoln's Birthday | 2 12 | public | US-NY |
fixed       | Susan B. Anthony Day | 2 15 | public | US-NY |
nth_weekday | Election Day | 11 1 0 1 | public | US-NY |
# --- US-OH ---
nth_weekday | Washington-Lincoln Day | 2 3 0 | public | US-OH |
# --- US-OK ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-OK |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-OK |
# --- US-OR ---
nth_weekday | Presidents Day | 2 3 0 | public | US-OR |
# --- US-PA ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-PA |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-PA |
# --- US-PR ---
fixed       | Epiphany | 1 6 | public religious | US-PR |
nth_weekday | George Washington Day, Presidents' Day, and the Day of the Women and Men Heroes of Puerto Rico | 2 3 0 | public | US-PR |
fixed       | Emancipation Day | 3 22 | public | US-PR |
easter      | Good Friday | -2 | public religious | US-PR |
fixed       | Puerto Rico Constitution Day | 7 25 | public | US-PR |
fixed       | Puerto Rican Identity Day | 11 19 | public | US-PR |
# --- US-RI ---
nth_weekday | Victory Day | 8 2 0 | public | US-RI |
nth_weekday | Indigenous Peoples' Day / Columbus Day | 10 2 0 | public | US-RI |
# --- US-SC ---
nth_weekday | President's Day | 2 3 0 | public | US-SC |
nth_weekday | Confederate Memorial Day | 4 4 0 | public | US-SC |
# --- US-SD ---
nth_weekday | Native Americans' Day | 10 2 0 | public | US-SD |
# --- US-TN ---
nth_weekday | President's Day | 2 3 0 | public | US-TN |
easter      | Good Friday | -2 | public religious | US-TN |
# --- US-TX ---
fixed       | Emancipation Day In Texas; Juneteenth National Independence Day | 6 19 | public | US-TX |
fixed       | Confederate Memorial Day | 1 19 | public | US-TX |
nth_weekday | Presidents' Day | 2 3 0 | public | US-TX |
fixed       | Texas Independence Day | 3 2 | public | US-TX |
fixed       | Cesar Chavez Day | 3 31 | public | US-TX |
easter      | Good Friday | -2 | public religious | US-TX |
fixed       | San Jacinto Day | 4 21 | public | US-TX |
fixed       | Lyndon Baines Johnson Day | 8 27 | public | US-TX |
nth_weekday | Friday After Thanksgiving | 11 4 3 1 | public | US-TX |
fixed       | Christmas Eve | 12 24 | public religious | US-TX |
fixed       | Day After Christmas | 12 26 | public | US-TX |
# --- US-UT ---
nth_weekday | Washington and Lincoln Day | 2 3 0 | public | US-UT |
fixed       | Pioneer Day | 7 24 | public | US-UT |
# --- US-VA ---
nth_weekday | George Washington Day | 2 3 0 | public | US-VA |
nth_weekday | Indigenous Peoples' Day | 10 2 0 | public | US-VA |
# --- US-VI ---
fixed       | Three Kings Day | 1 6 | public religious | US-VI |
nth_weekday | Presidents' Day | 2 3 0 | public | US-VI |
fixed       | Transfer Day | 3 31 | public | US-VI |
easter      | Holy Thursday | -3 | public religious | US-VI |
easter      | Good Friday | -2 | public religious | US-VI |
easter      | Easter Monday | 1 | public religious | US-VI |
fixed       | Emancipation Day | 7 3 | public | US-VI |
nth_weekday | Columbus Day and Puerto Rico Friendship Day | 10 2 0 | public | US-VI |
fixed       | Liberty Day | 11 1 | public | US-VI |
fixed       | Christmas Second Day | 12 26 | public religious | US-VI |
# --- US-VT ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-VT |
nth_weekday | Town Meeting Day | 3 1 1 | public | US-VT |
fixed       | Bennington Battle Day | 8 16 | public | US-VT |
# --- US-WA ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-WA |
nth_weekday | Native American Heritage Day | 11 4 3 1 | public | US-WA |
# --- US-WI ---
fixed       | Susan B. Anthony Day | 2 15 | public | US-WI |
fixed       | Christmas Eve | 12 24 | public religious | US-WI |
fixed       | New Year's Eve | 12 31 | public | US-WI |
# --- US-WV ---
nth_weekday | Presidents' Day | 2 3 0 | public | US-WV |
fixed       | West Virginia Day | 6 20 | public | US-WV |
nth_weekday | Day After Thanksgiving | 11 4 3 1 | public | US-WV |
decree | Election Day | 2022-11-08 2024-11-05 2026-11-03 | public | US-WV |
# --- US-WY ---
nth_weekday | President's Day | 2 3 0 | public | US-WY |
#
# ==========================================================================
# HALF-DAY HOLIDAYS -- span-native DateSpan demonstration (span = half_pm)
# ==========================================================================
# A half-day holiday is not a whole day with a flag: it is a genuinely narrower
# DateSpan. "half_pm" resolves to the free afternoon [12:00, 24:00) of the day
# (12 hours wide) -- offices close at noon. is_civil_holiday() is therefore
# honest: the morning of a half-day is a working period.
#
# 1) Puerto Rico Christmas Eve (from 12pm): a recurring statutory half-day,
#    Law No. 305 of 25 Dec 2002 (adds Christmas Eve to 1 LPRA sec.71 as a
#    from-noon holiday), in force from 2003. Name follows the reference gloss.
# 2) U.S. federal Christmas Eve half-day closing: granted by Executive Order in
#    2002 (EO 13281), 2009 (EO 13523) and 2015 (EO 13713) -- the President
#    closing executive departments at noon on 24 December. Primary: the Federal
#    Register EO documents cited in vacanza's united_states.py header.
fixed  | Christmas Eve (from 12pm)          | 12 24                                | public | US-PR |  | 2003- | half_pm
decree | Christmas Eve (half-day closing)   | 2002-12-24 2009-12-24 2015-12-24     | public |       |  |       | half_pm

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
fixed  | Christmas Eve | 12 24 | government |  |  |  | 
decree | National Day of Mourning for former President Jimmy Carter | 2025-1-9 | government |  |  |  | 
decree | Day After Christmas | 2025-12-26 | government |  |  |  | 
fixed  | Groundhog Day | 2 2 | unofficial |  |  |  | 
fixed  | Valentine's Day | 2 14 | unofficial |  |  |  | 
fixed  | Saint Patrick's Day | 3 17 | unofficial |  |  |  | 
decree | Good Friday | 2024-3-29 2025-4-18 | unofficial |  |  |  | 
decree | Easter Sunday | 2024-3-31 2025-4-20 | unofficial |  |  |  | 
decree | Mother's Day | 2024-5-12 2025-5-11 | unofficial |  |  |  | 
decree | Father's Day | 2024-6-16 2025-6-15 | unofficial |  |  |  | 
fixed  | Halloween | 10 31 | unofficial |  |  |  | 
decree | Election Day | 2024-11-5 | unofficial |  |  |  | 
fixed  | Christmas Eve | 12 24 | unofficial |  |  |  | 
fixed  | New Year's Eve | 12 31 | unofficial |  |  |  | 
#
# ==========================================================================
# SUBTRACTIVE LAYER (exclude rules) -- subdivisions that observe FEWER
# holidays than the federal default.
# ==========================================================================
# The engine is otherwise additive: a subdivision row can only ADD a holiday.
# But several states/territories genuinely DROP a federal holiday. An
# `exclude` row (args = the exact federal `name` to remove, scoped to its
# subdiv) expresses exactly that. Cross-checked one-for-one against
# vacanza/holidays 0.101 (MIT) for 2024 and 2025: each listed subdivision's
# `country_holidays(US, subdiv=code)` has NO holiday on the federal date and
# no same-named substitute, i.e. a true subtraction (not a rename or a move).
#
# Columbus Day (2nd Mon of Oct) is not observed in these 28 states/territories
# (many observe Indigenous Peoples' Day only where vacanza lists it under a
# state row, which are NOT in this list; the ones here observe nothing that
# day). Washington's Birthday (3rd Mon of Feb) is not observed in DE and FL.
#
exclude | Columbus Day | Columbus Day | public | US-AR |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-CA |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-CO |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-DE |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-FL |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-GU |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-HI |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-IA |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-KS |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-KY |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-LA |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-MI |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-MN |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-MS |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-NC |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-ND |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-NH |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-NV |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-OK |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-OR |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-SC |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-TN |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-TX |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-UM |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-VT |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-WA |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-WI |  |  |  | 
exclude | Columbus Day | Columbus Day | public | US-WY |  |  |  | 
exclude | Washington's Birthday | Washington's Birthday | public | US-DE |  |  |  | 
exclude | Washington's Birthday | Washington's Birthday | public | US-FL |  |  |  | 
